17723.00;19783.00;268.70
17723.00;19783.00;268.70
17723.00;19783.00;268.70
17740.00;19951.00;270.30
17629.00;19756.00;270.47
17413.00;19562.00;276.70
17338.00;19546.00;277.98
17202.00;19446.00;279.85
17202.00;19446.00;279.85
17202.00;19446.00;279.85
17162.00;19439.00;280.24
17243.00;19646.00;277.14
17343.00;19793.00;274.76
17248.00;19740.00;276.95
17194.00;19534.00;280.00
17194.00;19534.00;280.00
17194.00;19534.00;280.00
17179.00;19503.00;279.40
17273.00;19582.00;277.58
17252.00;19597.00;275.25
17273.00;19545.00;275.04
17258.00;19185.00;278.71
17258.00;19185.00;278.71
17258.00;19185.00;278.71
17313.00;19109.00;276.87
17358.00;19189.00;273.17
17469.00;19294.00;267.27
17450.00;19077.00;271.76
17438.00;19165.00;270.93
17438.00;19165.00;270.93
17438.00;19165.00;270.93
17421.00;19225.00;273.04
17447.00;19222.00;273.14
17413.00;19015.00;277.17
17505.00;18999.00;276.20
17500.00;19025.00;275.02
17500.00;19025.00;275.02
17500.00;19025.00;275.02
17641.00;18981.00;272.58
17640.00;18963.00;273.86
17648.00;18958.00;273.28
17745.00;19051.00;271.35
17869.00;19249.00;268.12
17869.00;19249.00;268.12
17869.00;19249.00;268.12
17889.00;19219.00;269.17
17896.00;19062.00;273.43
17915.00;19084.00;276.20
17924.00;19131.00;276.22
17927.00;19174.00;276.36
17927.00;19174.00;276.36
17927.00;19174.00;276.36
17976.00;19094.00;274.67
18042.00;19185.00;274.94
18127.00;19328.00;276.96
18266.00;19373.00;278.10
18153.00;19282.00;274.09
18153.00;19282.00;274.09
18153.00;19282.00;274.09
18098.00;19144.00;270.88
18030.00;19089.00;272.23
